iterID,x1,x2,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
1,5.0772372055725326,0.047727282963126755,-1.6787059389996735,0.29951497225385826,-1.691966657223184,0.009655217637333915,-1.3224445762150638,0.3001808927162434,0.01050613394579739,-1.2984962868528682,3.0069042689711862
1,5.929026660740172,0.20379700046586147,0.3969394480365058,0.0056415152106426,-1.312281864567966,0.6678779984472568,-0.9866493363114605,0.3904709968631088,0.7197948693847,-0.9034637714886953,3.0069042689711862
1,2.219803300815276,3.0313833585424814,1.0644618527074396,0.2434478104461295,0.4726845941144747,0.8053251563312497,0.5919844457305816,0.7194204263035949,0.8505882441522472,0.5357384729578911,3.0069042689711862
1,4.817472474283604,2.1309451362873064,-0.47486248384775753,0.10661329051619561,-0.5921947824740798,0.9499280340531672,-0.34980051023067454,0.5179713888782218,0.9559534470517296,-0.3456307615087551,3.0069042689711862
2,4.821065410979142,0.19351537251588885,-1.9523456723157617,0.35119329768313867,-1.8706229778065713,0.15862856539582612,-1.5734758155745703,0.3003888518738956,0.21271684332153382,-0.1780479276993745,3.5354171080612433
2,4.848014445889287,1.1209510373183662,-1.4097443987475116,0.024481099544659934,-1.2708250442007802,0.34284677064870034,-1.014190591528195,0.19391265259398943,0.24636672475499327,-0.564486021889913,3.5354171080612433
2,5.6991848600128465,1.0167825285762924,-0.345137087164908,0.04609876751167863,-0.020167761833094433,0.5050070944834891,0.15199238307665208,0.05195112003049751,0.4841629541909563,-1.079712377293423,3.5354171080612433
2,4.874700443478947,1.5236719250713349,-1.0315030037017516,0.0033133488694430113,-0.9098983445361063,0.29342437663626436,-0.67764229955134,0.1485480109710679,0.21060661664595715,-0.7291296302357915,3.5354171080612433
3,4.866535106870143,0.6789758379688299,-1.7296688366913942,0.12998264517978197,-1.7250203607410581,0.028986760818876422,-1.1288328324538899,0.14518046475942298,0.09868806480785403,-0.43987810677767314,3.6361540137829107
3,5.027789067338378,1.3160902958541758,-1.1541448713751565,0.0009206594320828598,-1.1636233676700019,0.06436565736677552,-0.5907138516751633,-0.011056497773461016,0.13848888543695936,-1.033160271857959,3.6361540137829107
3,4.726459374480001,0.18110825017884888,-1.9831562423659617,0.4030291047907891,-1.99743877084892,0.024514829938295023,-1.3899555655677265,0.39251405721084087,0.04937518438014855,0.4993273593793983,3.6361540137829107
3,4.810261508766386,0.49974803187875844,-1.856156166039181,0.2186614797696329,-1.8480150580316286,0.025306984355940764,-1.2467276234201332,0.23551365174372937,0.08978688647464006,-0.09685384488848303,3.6361540137829107
4,6.181146234311076,0.2101447846077275,0.8558433807239323,0.002918866870413872,0.956754415231092,0.14194237400384233,1.7412612589057233,-0.027560139041543558,0.12859125051597836,-1.121469223406507,3.654598370751159
4,4.903506617249442,0.8867060214101619,-1.5681536885126608,0.05953502628501761,-1.5688102417381198,0.0037820436478791025,-0.693288903918301,0.06018028927022337,0.0072960116753807034,-0.7558769521033355,3.654598370751159
4,4.777956294277274,0.0,-1.9892654026362249,0.46723982789215146,-1.9926307279719242,0.011009547638959174,-1.1018360503639144,0.46623087155626386,0.023767779080522817,0.9360335787462191,3.654598370751159
4,4.795785480740978,0.35151584219403914,-1.922347244827042,0.28933454708368256,-1.9221291863802552,0.002005004925617722,-1.033875192942304,0.2896897517197482,0.004158883668298969,0.20043118631087964,3.654598370751159
5,4.720336233619036,0.07365735679569228,-1.9971309713736884,0.4592429657912036,-1.9982005089852855,0.002020551359694663,-1.0088976435670247,0.45964143866230583,0.002871894759876347,0.9812717921595322,3.6681868317292072
5,4.887785791172872,0.7850397035176201,-1.648939544333067,0.0902790800373443,-1.6488280703413833,0.000531235119833622,-0.6837597007771592,0.09018891560856718,0.0013585736277829529,-0.6242223830540752,3.6681868317292072
5,4.837313913451849,0.5838769125457053,-1.8006323796964678,0.1745376656237727,-1.8006866941167565,0.00042323093218924086,-0.8250845308664339,0.17458547509752942,0.001175535929781351,-0.2574683992197606,3.6681868317292072
5,4.987534741381339,1.137253690041331,-1.3204571705313786,0.0062592892223973795,-1.322769617153602,0.0039313408785519475,-0.3803185503812756,0.007307394546992196,0.006884295994466216,-0.9843926106041181,3.6681868317292072
6,4.964409215367829,1.332209054906744,-1.175350364104511,4.51104460440499e-05,-1.174627904969842,0.0028777889210421246,-0.12217650200636854,-0.00015689531378157429,0.003168415006333768,-1.0149823392148392,3.674904022424394
6,4.9295287066586795,0.9622559219831789,-1.4951219508095703,0.0378121845057402,-1.4950490527139484,0.0003963855231153778,-0.4346738096446643,0.03778139095757557,0.0016344183481458792,-0.8438998086548963,3.674904022424394
6,4.799448162162022,0.4233397570680537,-1.8941492216262392,0.25573731014368595,-1.8941488110875693,0.0,-0.8239040488124374,0.2557265658592898,0.001452353934745854,0.1389229730284569,3.674904022424394
6,4.87550569427974,0.7352912657882569,-1.6892446448035352,0.10883184916754018,-1.6892419487283,0.00023139025751436716,-0.6240644213262385,0.10883590517134767,0.0011462831768793166,-0.5234797977864218,3.674904022424394
7,4.825992598634625,0.6581500120761189,-1.7643467015530483,0.1513034412401335,-1.7644014680908273,0.0,-0.6591877501323324,0.151294308362105,0.0029910017240178726,-0.25952368230719003,3.67758419923724
7,4.900240189266266,0.826006385271699,-1.6129474861940758,0.07556137925988904,-1.612951406826439,0.0,-0.5029243889462123,0.07556309218084092,0.00393723809667687,-0.6155189494784281,3.67758419923724
7,4.978383017549586,1.0670400339060877,-1.3808387294080804,0.014066269943185938,-1.3808633397443775,0.0008509842409830082,-0.2634602305915905,0.01405882134371661,0.0,-0.904636574057804,3.67758419923724
7,4.857294670158893,0.5087085707007043,-1.8264721235769086,0.19597014952718794,-1.8264913018884663,0.0004686886958118815,-0.7232508878009867,0.19594469831463374,0.0024936426302037628,-0.049632328358711675,3.67758419923724
