iterID,x1,x2,x3,x4,x5,x6,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,0.47716553926653704,0.09120537486262038,0.208830393730574,0.11913599894572743,0.8597039011974665,0.03601491593006273,0.9982346086656271,0.9301766647207583,0.0,0.0,0.0,0.0,0.0,0.0,0.007095003819858839
0,0.9213181372363201,0.6791580978355178,0.5726911078132996,0.6581628844635937,0.6310509976558435,0.3977618804406049,0.9970551125373988,0.9154764566880843,0.0,0.0,0.0,0.0,0.0,0.0,0.007095003819858839
0,0.50736000965525,0.4972334461958855,0.36064037356744977,0.694662030619734,0.11628813743287847,0.7347406433586691,0.9473485957411419,0.8759494253084369,0.0,0.0,0.0,0.0,0.0,0.0,0.007095003819858839
0,0.6955275702493247,0.1677050425340983,0.9202826870741596,0.8513655638145384,0.33483101627792583,0.9242004419505354,0.8934033011061233,0.9190189689438597,0.0,0.0,0.0,0.0,0.0,0.0,0.007095003819858839
0,0.3293790757960403,0.9895952639918236,0.7667904535629615,0.23913192206740763,0.2965638202989587,0.6443815497636164,0.9375421541739367,0.9215919601143168,0.0,0.0,0.0,0.0,0.0,0.0,0.007095003819858839
0,0.16117163983561278,0.659442161285706,0.16211405999414738,0.43288899065547654,0.7888966945850949,0.19961417910004217,0.8718713327875682,0.915606693692295,0.0,0.0,0.0,0.0,0.0,0.0,0.007095003819858839
1,0.6955287002924493,0.1677060228696234,0.9202330742614059,0.8513095742574481,0.11377578728726966,0.9241986526504617,0.8415014864559898,0.9330878099779047,0.8962770182481887,0.34296528277477084,-0.940427027095041,0.8759024819138304,0.05003485095267626,-2.1456129547588723,0.008336605827239038
1,0.16099601699836966,0.6594700820341305,0.16141740217795722,0.42789933378228595,0.2179885846156683,0.19937135314356197,0.8270941868506575,0.9271508905095535,0.8930487534143225,0.7217542875246379,-1.008448541125969,0.9057884862504995,0.72375803803538,-0.41569542802297466,0.008336605827239038
1,0.9213181372363201,0.6791580978355178,0.5726911078132996,0.6581628844635937,0.6310509976558435,0.3977618804406049,0.9970551125373988,0.9154764566880843,0.9970551125317981,9.999989311465896e-06,1.1830290420630643,0.915476456687741,1.000001151592547e-05,0.1450817728730394,0.008336605827239038
1,0.1611928473956627,0.6594412642288535,0.16212197120318383,0.4320356596564996,0.8635898120106352,0.19961267315713238,0.8741339821458469,0.9264056279947982,0.8723794435240129,0.12125296836195298,-1.4439635391410293,0.9305075276968648,0.0593174702693868,1.0151383013863233,0.008336605827239038
2,0.6831274642879309,0.5943117965259243,0.21925724507428707,0.7453443431039072,0.12118898366725044,0.1358822207154996,0.9129711330234128,0.8927037972818368,0.8668377677237724,0.8371986216995785,-0.8281679157937247,0.8892362942707733,0.7841980185521799,-1.883597404061538,0.009123949294717576
2,0.774698980509787,0.6589041437142774,0.16023820129862393,0.43131444458683965,0.16102856432924623,0.19928113294065933,0.95069922566197,0.9211544921605122,0.8271667882877786,0.12466078067773631,-1.463815727265825,0.9101234426516591,1.0081586082375427,-0.5155172019488634,0.009123949294717576
2,0.5130065335693573,0.0,0.35850230048268134,0.7047537510465838,0.11605348869112264,1.0,0.9715698425222619,0.9259775527039446,0.918715854484415,1.0165360843163764,0.0030742864807799452,0.8759548045087476,0.03040686583401993,-2.753517168437679,0.009123949294717576
2,0.5574391506277747,0.0,0.3202093255380064,0.7854780684395313,0.10664206885041046,1.0,0.988110624587578,0.9286640813475515,0.9187161407753153,1.0165366340823436,0.0030788737177687943,0.8793456819786185,0.43512188541465663,-2.531419242491719,0.009123949294717576
3,0.7360127471817458,0.49723361241232594,1.0,0.6943494857784234,0.11197758904287072,0.7346821495901796,0.9101842948699012,0.9409854875264095,0.83303476770537,0.41147522067347586,-1.6759122538471933,0.8763798043205044,0.16311250811117858,-2.754554598717811,0.009123949294717576
3,0.05843981519428285,0.5942302934827223,0.1119082755692362,0.7460052350647246,0.1201702137062774,0.13573852323406388,0.9561382105313418,0.9125359768364507,0.8138290073919824,0.4600167832945647,-2.0106712198562144,0.892718261149966,0.0413330513095113,-1.6665789397385387,0.009123949294717576
3,0.50736000965525,0.4972334461958855,0.36064037356744977,0.694662030619734,0.11628813743287847,0.7347406433586691,0.9473485957411419,0.8759494253084369,0.9473485957361854,0.0005028940479342196,0.3165930283026608,0.8759494253116555,9.242960990868703e-06,-2.783213479458551,0.009123949294717576
3,0.6831274642879309,0.5943117965259243,0.21925724507428707,0.7453443431039072,0.12118898366725044,0.1358822207154996,0.9129711330234128,0.8927037972818368,0.9129711330438831,0.0,-0.2826107354174816,0.8927037972837734,9.36139287143701e-06,-1.6675420866572874,0.009123949294717576
4,0.7774586100762743,0.49723342319842045,0.36050942409190606,0.6957464095499173,0.11625423407420807,0.734734855802451,0.9726184906106098,0.8771325674490968,0.9087052615891957,0.28487326385603823,-0.4082797867327028,0.8759517808084918,0.010720039645845765,-2.146690034382126,0.009261859178851407
4,0.160910735506808,0.6597269130821157,0.7936808849530621,0.3019253254650702,0.22107703070018997,0.19960732856309227,0.8752214276928783,0.9161160279478505,0.827119811501821,0.03147969963981842,-1.9922002056999935,0.9151360667084202,0.9533498537011134,0.005595365567226123,0.009261859178851407
4,0.16083700671788492,0.6592930978700299,0.18482591191096157,0.5435073140140235,0.029876755736104606,0.19932550134550922,0.8319086527174109,0.9313623889521969,0.8403716288757359,0.47016010452547613,-1.7349260948813339,0.9134949023732396,0.6682422643949252,-0.08454929207813133,0.009261859178851407
4,0.589614636118179,0.4972332978655643,0.3605852061981755,0.8493616183240567,0.11752290168262806,0.7348016084814163,0.9874097320135614,0.8647134977064505,0.9352256354534471,0.41696925093739756,0.10659341231500968,0.8759523879481891,0.011870455405331739,-2.1466566858630394,0.009261859178851407
5,0.1607883827523956,0.6576035050762866,0.33508913368094534,0.9015514039213133,0.12771865799718046,0.19960094123992086,0.9435128186825446,0.9377311688952554,0.8328300174505775,0.28881852912137584,-1.7349400655161666,0.8817224592730778,0.5257812841625947,-1.41327247629266,0.009261859178851407
5,0.34530119222340105,0.4982383537391645,0.3610643781686938,0.8878161129779982,0.12132558001264432,0.7346127054117743,0.9867490058813617,0.8974075771307931,0.9159984291947602,0.752028794409534,-0.20886846734426756,0.8634089861630847,0.08315481127115458,-2.273337265939115,0.009261859178851407
5,0.16084317463039605,0.6595927735385552,0.29123960226026246,0.0,0.11671479202874446,0.19959057719609374,0.9736239691766685,0.9376014086131536,0.8302030083688205,0.22084921196014973,-1.7831435103545774,0.9212866453330425,0.7653712177621187,0.44480016546249557,0.009261859178851407
5,0.1915598837280232,0.6464247412397304,0.34980266669583765,0.953773532718537,0.20030316693071,0.24588436015891582,0.9618939313591257,0.9321106509468404,0.9005155043123169,0.9234668571545219,-0.49296733882931143,0.893004795991936,0.6953691919408311,-0.8834144587257775,0.009261859178851407
6,0.6282247556226295,0.501255126985604,0.3378172706233734,0.33221196860967656,0.11906295374402122,0.9116889092398925,0.8711789451775892,0.8739452341622258,0.9301062035538369,0.9206035086551089,-0.06263491079259667,0.8627022578199698,0.09755198404048217,-2.4090306693505372,0.015564808773002823
6,0.06965658176383291,0.6546314667339519,0.0,0.4351249362945844,0.38710324312328254,0.19357805526335345,0.9135241065690439,0.9267600992310738,0.8456416260858767,0.4197467491514202,-1.673122520030909,0.9131776586472897,0.619739418869752,-0.04002329394650317,0.015564808773002823
6,0.038444409156652815,0.6514093372702076,0.0,0.4076404522295136,0.5048156708783513,0.1925826774257645,0.9470122987473264,0.914357668929646,0.860636638235263,0.5097051416899709,-1.3872123551913904,0.9100411494556421,0.7000249732473866,-0.1872319002427791,0.015564808773002823
6,0.5348045574831803,0.4785509373548896,0.38549302650292794,0.47023475219929045,0.11455021254943708,0.7150417530066474,0.8123571115674406,0.8722864180133704,0.9278115829214872,0.7977941484509111,-0.10638648342910728,0.8735776368039959,0.19392340708297298,-1.898606728159617,0.015564808773002823
7,0.5844801596864178,0.4958353442213309,0.369588225471753,0.41372192831709165,0.11644235467360514,0.6765432940937454,0.8026754057329558,0.885574706679778,0.8277376956752277,0.2800860552422602,-1.8195142294326154,0.8636730666831961,0.055581513507039805,-2.138361588323515,0.050182582686483915
7,0.3429960949012692,1.0,0.3436748513196612,0.46125025309101464,0.09200061805440163,0.5041523621072667,0.9451329211608356,0.9373121915461935,0.7949496909394717,0.5076331446899743,-2.4200778670039087,0.9188498756025031,0.7565747625845006,0.3163998827503793,0.050182582686483915
7,0.31159128778649475,0.506633920919867,0.3498707634941754,0.4769676786153148,0.2870026408700633,0.5376016385236426,0.6255077519239226,0.8207644469674042,0.8031109051147983,0.6046980440994536,-2.2705924526997086,0.9032137516306511,0.5712293871897958,-0.37923575538828364,0.050182582686483915
7,0.63146919767027,0.4939017132592366,0.36152975527729797,0.3409850708437262,0.12480746423187157,0.7225987258654524,0.7923965927352942,0.8986286172713661,0.8655353581363671,0.240262405910324,-1.1271908678161926,0.8628936105611984,0.07509760241001351,-2.173038817654973,0.050182582686483915
8,0.30925850369765395,0.5041089855650591,0.3469329556367328,0.4459745084136848,0.2902206658987516,0.5296500685260669,0.5871678682212358,0.8249023545905869,0.6182526336618678,0.1371796985570712,-3.7657198999622272,0.8206992600739571,0.11219489716293961,-3.2686517600433334,0.05966851643109663
8,0.42691840202614095,0.4852705104503251,0.2647128307856167,0.7403355281114552,0.22976109068106274,0.5655015071666145,0.9356279990049176,0.8765770151673845,0.8778781150471191,0.6512557002083573,-0.4273861695285852,0.8463227449813531,0.6956063354104574,-2.316467835447388,0.05966851643109663
8,0.40699611344035,0.48844417974335125,0.2787005070118067,0.6905475333703799,0.24004597534604494,0.5593445686121573,0.8993257610763908,0.8631814584318971,0.8284361840282194,0.6211938555003238,-1.0631237140003753,0.8401990116708077,0.6268818308122328,-2.544029403980595,0.05966851643109663
8,0.335651098401283,0.4998174906809591,0.3287683256130361,0.5122766796519341,0.27682613999197886,0.5373144738077956,0.6799018195921909,0.8066841318519519,0.6458849228036256,0.1928400166686205,-3.4104165514663816,0.8220454201109666,0.22185019221398836,-3.2186276531817395,0.05966851643109663
9,0.3375620455716825,0.4996726769440406,0.3344957467562,0.3187293313968649,0.2763399237178822,0.5457250942056293,0.47543863419208254,0.8336495418491635,0.5325966387213547,0.29735413107385783,-3.757728469882937,0.8058870084747131,0.053764941836764446,-2.8390081666376235,0.07681048381744088
9,0.31728435372089625,0.4080077493077696,0.32941171391143353,0.918901524847622,0.0318048425496219,0.49005034480638965,0.993239140061513,0.9183292022441694,0.9468939941907611,0.7643672357689155,0.5163652707864941,0.8624642903992604,0.6977446926915446,-1.1631187594954095,0.07681048381744088
9,0.28974554108819633,0.49925655911773514,0.3306642465190529,0.2740323846699576,0.2896889133467001,0.5495956044406979,0.44487988627061714,0.8371699638321992,0.5320913832339537,0.41915396480351197,-3.7629409321099594,0.8408782272362731,0.24718406995330094,-1.8025247784165366,0.07681048381744088
9,0.589614636118179,0.4972332978655643,0.3605852061981755,0.8493616183240567,0.11752290168262806,0.7348016084814163,0.9874097320135614,0.8647134977064505,0.9874097320115328,0.0017029740649994061,0.9343453981811312,0.864713497723036,0.0004299646894300136,-1.096494443159233,0.07681048381744088
10,0.2988509187515257,0.4890671591487468,0.31302079742198174,0.24885001262768136,0.2807033443120065,0.5688861105618217,0.4320689852238809,0.8863549842269542,0.43586392452617384,0.05708583681286878,-3.338109202697095,0.8376696474068498,0.19935772268719404,-1.6975633194331157,0.07768834289555418
10,0.589614636118179,0.4972332978655643,0.3605852061981755,0.8493616183240567,0.11752290168262806,0.7348016084814163,0.9874097320135614,0.8647134977064505,0.9874097320106265,0.0037118456304189584,0.8026375087184698,0.864713497712281,0.0,-0.9376966991425482,0.07768834289555418
10,0.32808355656037924,0.4935871017609614,0.29336993302252284,0.34359819038953354,0.27743856529827043,0.5123658218072769,0.5180668550857355,0.870553628440872,0.49417612971534175,0.05194072526174387,-2.9003285712501903,0.8291180340243546,0.30043123846895636,-1.9378429203626926,0.07768834289555418
10,0.6791832448472236,0.47953036689623313,0.3680683047576035,0.8337801991356631,0.09037496929762316,0.749460072318033,0.9885789533225474,0.9135079737465392,0.9727654917302531,0.13028047184270153,0.6926954350787474,0.8670852227019509,0.322223249223467,-0.8710569776603885,0.07768834289555418
11,0.303742723655506,0.49597389824979027,0.4366629931874907,0.2512636453023302,0.32254135814834606,0.5687139841233276,0.4053569217142573,0.8428312649629395,0.42013270891986193,0.09658209997703454,-2.902519394882596,0.8823498058853103,0.4008419406402606,-0.4177039154403803,0.08123895695546061
11,0.2740066830571576,0.49549551641993306,0.350814413147771,0.2864673363366695,0.3112499116973579,0.5419065043318644,0.4339991308711867,0.8521802585961207,0.4508655342779101,0.031886921510015355,-2.7031448647047895,0.8283479085490049,0.21977185606345118,-1.9741239770695045,0.08123895695546061
11,0.31159128778649475,0.506633920919867,0.3498707634941754,0.4769676786153148,0.2870026408700633,0.5376016385236426,0.6255077519239226,0.8207644469674042,0.6255077506295202,0.0015733945895946822,-1.5701800484649198,0.8207644469464227,0.0001165678929476234,-2.192691330385771,0.08123895695546061
11,0.30925850369765395,0.5041089855650591,0.3469329556367328,0.4459745084136848,0.2902206658987516,0.5296500685260669,0.5871678682212358,0.8249023545905869,0.5871678694674296,0.0019847783456219265,-1.818904196170493,0.8249023545881251,0.0,-2.0734302898596226,0.08123895695546061
12,0.29093980780607925,0.4757852448797209,0.4026320480553608,0.21563021967183432,0.3371161374180679,0.5823504374293247,0.39087335011891583,0.8812347416678058,0.37979523321831826,0.05524185461088444,-2.574851662470282,0.8772023642671075,0.5702970490781795,-0.3929479336687456,0.08402347642113675
12,0.2637303036274754,0.49427538798514786,0.3576941737503666,0.33999572697146024,0.27791124092962977,0.5359623826297168,0.45995593193698453,0.8794869555525598,0.46542396073869674,0.04429768229797646,-2.094904791389907,0.8301852110928121,0.27317823323799717,-1.649227754802563,0.08402347642113675
12,0.2735518030715732,0.48956676618006495,0.32990453562883615,0.4195288912895673,0.2847523198034396,0.5383932144163275,0.5307223682843427,0.8281195060061447,0.5453309746590076,0.05854915975620374,-1.6470279815972813,0.8245588109434423,0.2733745998288075,-1.7995629515567066,0.08402347642113675
12,0.28832005725808607,0.4955817583757899,0.3771905603080815,0.2834974975236348,0.28607272036086817,0.5424873632464277,0.43467262497468245,0.8239450995433628,0.4260635592456051,0.02871742783131906,-2.315518855012199,0.8367521373823008,0.23532561159376764,-1.473762069890185,0.08402347642113675
13,0.30490135905992405,0.49069811387827705,0.389968647506905,0.3293602525797996,0.3113035774397954,0.5481156496363424,0.4327579572970531,0.8297721135834378,0.43511771282130696,0.016901259534797805,-1.8815279446907986,0.8124026081893968,0.31185285417398423,-2.0094665700445598,0.08896700364679705
13,0.40699611344035,0.48844417974335125,0.2787005070118067,0.6905475333703799,0.24004597534604494,0.5593445686121573,0.8993257610763908,0.8631814584318971,0.8993257608264388,0.0,0.4442657346694219,0.8631814584366518,0.0,-0.6780424680093651,0.08896700364679705
13,0.29968168155070146,0.4847476943573696,0.4133575077823958,0.2821695408262036,0.4044530200706313,0.5497088035415424,0.47768451808306983,0.8036169517841351,0.39303639528323187,0.03035126973005294,-2.0923654404425385,0.8274710329275159,0.4504701034197933,-1.6143716874636045,0.08896700364679705
13,0.335651098401283,0.4998174906809591,0.3287683256130361,0.5122766796519341,0.27682613999197886,0.5373144738077956,0.6799018195921909,0.8066841318519519,0.6799018200771237,0.0,-0.6551008460871159,0.8066841318726022,0.0013752961273307955,-2.1594053173384555,0.08896700364679705
14,0.3041940474636588,0.44158799689569667,0.4515710269651663,0.2574445208882603,0.31213443607625463,0.5512856713559263,0.34315710604200583,0.8265517548907314,0.3723373031337074,0.06342983074597734,-2.0822556789098394,0.8187946494280903,0.42339986998765794,-1.6219570543010842,0.09633456158042297
14,0.30563042880668306,0.46172927334809366,0.4266534534491903,0.2677188395729929,0.3183514482923494,0.5480088647260097,0.3759616813288531,0.8381117675910545,0.3862836156572913,0.03461300930526382,-2.013980592493172,0.8059618915379915,0.2848596795289415,-1.9378691915837165,0.09633456158042297
14,0.29968168155070146,0.4847476943573696,0.4133575077823958,0.2821695408262036,0.4044530200706313,0.5497088035415424,0.47768451808306983,0.8036169517841351,0.4776845178484361,0.002026055304020054,-1.56652148922778,0.8036169518034748,0.0008574225040958995,-1.9955960597810578,0.09633456158042297
14,0.2781742320762278,0.6201178154130723,0.22166021273478184,0.5408136537230837,0.32447671175662646,0.5369610210558035,0.7991273849094047,0.8810460430331943,0.8291168180885236,0.23858797710490776,0.15393835475785966,0.8708503660633921,0.7563514108242737,-0.3404684732124075,0.09633456158042297
15,0.2958364236292702,0.3805199850538228,0.5570450857049905,0.2641079180088111,0.3051755054749836,0.5668594739243842,0.2579647534412972,0.8654331148991454,0.2603823339453757,0.0482609923869322,-2.4019118335346175,0.8557123117241774,0.6636903514179187,-0.6230262376142768,0.10511319701864916
15,0.300879104800986,0.42546681588169216,0.489920397617445,0.2723325554956475,0.3113359980943436,0.555828468166873,0.3125291317100883,0.8276082546279043,0.3144545747515775,0.014380761916048384,-2.1511940581957165,0.8195930474593937,0.23616825267584163,-1.4914233229821074,0.10511319701864916
15,0.29968168155070146,0.4847476943573696,0.4133575077823958,0.2821695408262036,0.4044530200706313,0.5497088035415424,0.47768451808306983,0.8036169517841351,0.47768451799698164,0.003270371276766886,-1.3943427121259435,0.8036169518005294,0.0,-1.875528458790261,0.10511319701864916
15,0.40699611344035,0.48844417974335125,0.2787005070118067,0.6905475333703799,0.24004597534604494,0.5593445686121573,0.8993257610763908,0.8631814584318971,0.8993257608850923,0.005363486723620189,0.5606891643394287,0.863181458434431,0.0,-0.4434493451886774,0.10511319701864916
16,0.19909696706542068,0.29082465665676277,0.6994678234207519,0.24998927783941932,0.3147398110742106,0.6013928914193036,0.2273391364582563,0.9001096303479728,0.21227234432398556,0.10138483386033945,-2.3967356466018863,0.903439358977,0.7871708743464544,0.579444261942681,0.10790170497145671
16,0.29968168155070146,0.4847476943573696,0.4133575077823958,0.2821695408262036,0.4044530200706313,0.5497088035415424,0.47768451808306983,0.8036169517841351,0.477684518008463,0.004707603926274211,-1.2369042957841394,0.8036169517953045,0.0008601476961775794,-1.7970797797894438,0.10790170497145671
16,0.29962182816568195,0.39428446546397855,0.5457556021889862,0.2675084675811309,0.3094421925437819,0.560644280166361,0.27833355360789286,0.8329391183435001,0.2727607237958451,0.006427370099032658,-2.1324059517815375,0.8530795760044448,0.17791815402767638,-0.6194973219128073,0.10790170497145671
16,0.28832005725808607,0.4955817583757899,0.3771905603080815,0.2834974975236348,0.28607272036086817,0.5424873632464277,0.43467262497468245,0.8239450995433628,0.4346726248185702,0.005030683714308617,-1.424863052487467,0.8239450995604902,0.0,-1.3131169777312524,0.10790170497145671
17,0.20258368314703298,0.2920919767060433,0.5328771677589066,0.26822899794443367,0.28622141215758823,0.6079807897305824,0.09562163971440005,0.890624962475897,0.1633419110289258,0.07543746867978568,-2.3661185056265595,0.9011306463468247,0.5951982299070824,0.5685396341829518,0.11676489898497126
17,0.3068421505462118,0.4005242492548042,0.5275909691042878,0.2728554755273783,0.29563369236722126,0.5541106985546581,0.29473710862024094,0.8575906685996104,0.2874306932474716,0.014897785266712288,-1.854764423054121,0.8234764861979414,0.24740823311842333,-1.251637313332278,0.11676489898497126
17,0.3040647404514605,0.39127242359333186,0.5151538442086901,0.2764619493481806,0.2919904476364391,0.5600578611455158,0.27393377016366544,0.8405930330936293,0.26884266204235624,0.016259817666044053,-1.9313633345252583,0.8337584386370621,0.20998321770034512,-1.010633189802336,0.11676489898497126
17,0.29968168155070146,0.4847476943573696,0.4133575077823958,0.2821695408262036,0.4044530200706313,0.5497088035415424,0.47768451808306983,0.8036169517841351,0.4776845180546771,0.0,-1.0707526187570693,0.8036169517919612,0.0027151769126192754,-1.717135448201626,0.11676489898497126
18,0.19870671235776072,0.2757907079441383,0.4812100570444347,0.2611478986976735,0.29772035956115556,0.6301420129157574,0.056384597920186394,0.9018012482980954,0.05576890582780014,0.039208599227755575,-2.536769041824982,0.8943675590122968,0.6510343073610155,0.446823380028492,0.12006131083899224
